Meta_action_label,Action_label,Start Time (s),End Time (s)
[2] Consult sheets,[OP040] Consult sheets,275.16,277.12
[6] Picking in front,[OP040] Catch Fixation FIXL,284.35999,286.79999
[7] Picking left,[OP040] Catch Strap clamps BRIT (x2),294.92001,296.67999
[12] Assemble system,[OP040] Place BRIT1 and BRIT2 on FIXL,296.76001,299.48001
[7] Picking left,[OP040] Catch Strap clamps BRIT (x2),299.72,301.51999
[12] Assemble system,[OP040] Place BRIT1 and BRIT2 on FIXL,302.07999,304.12
[7] Picking left,[OP040] Catch Bolt B820PT,308.35999,309.76001
[4] Take screwdriver,[OP040] Take screwdriver,316.56,317.76001
[12] Assemble system,[OP040] Screw FIXL with B820PT,318.20001,320.79999
[5] Put down screwdriver,[OP040] Put down screwdriver,320.92001,322.95999
[3] Turn sheets,[OP050] Turn sheets,330.04001,333.76001
[6] Picking in front,[OP050] Catch Profile P040,333.84,335.44
[7] Picking left,[OP050] Catch Strap clamps BRIT (x2),337.39999,339.92001
[12] Assemble system,[OP050] Place BRIT1 and BRIT2 on P040,349,350.79999
[7] Picking left,[OP050] Catch Strap clamps BRIT (x2),351.23999,353.20001
[12] Assemble system,[OP050] Place BRIT1 and BRIT2 on P040,353.92001,355.44
[12] Assemble system,[OP050] Place P040 on P360-2,355.84,358.56
[7] Picking left,[OP050] Catch Bolt B820PT,361.39999,363.44
[4] Take screwdriver,[OP050] Take screwdriver,370.12,371.16
[12] Assemble system,[OP050] Screw P040 with B820PT,372.20001,374.60001
[5] Put down screwdriver,[OP050] Put down screwdriver,374.79999,376.48001
[2] Consult sheets,[OP060] Consult sheets,381.88,383.67999
[7] Picking left,[OP060] Catch Fixture key LARD,384.23999,386.72
[12] Assemble system,[OP060] Place LARD on P040 (P360-2),389.20001,392.23999
[6] Picking in front,[OP060] Catch Fixation FIXA1,393.48001,395
[7] Picking left,[OP060] Catch Bolt B820 (x2),397.72,399.76001
[12] Assemble system,[OP060] Place FIXA1 on P360-2,402.20001,408.92001
[4] Take screwdriver,[OP060] Take screwdriver,409.07999,410.39999
[12] Assemble system,[OP060] Screw FIXA1 with B820,411.20001,413.32001
[5] Put down screwdriver,[OP060] Put down screwdriver,413.39999,417.04001
[2] Consult sheets,[OP060] Consult sheets,417.39999,418.64001
[3] Turn sheets,[OP060] Turn sheets,421.28,423.16
[2] Consult sheets,[OP060] Consult sheets,424.04001,426.39999
[6] Picking in front,[OP060] Catch Fixation FIXA2,426.64001,428.95999
[12] Assemble system,[OP060] Place FIXA2 on P360-2,429.44,430.84
[7] Picking left,[OP060] Catch Bolt B820 (x2),431.48001,433
[4] Take screwdriver,[OP060] Take screwdriver,434.92001,436.84
[12] Assemble system,[OP060] Screw FIXA2 with B820,437.39999,439.88
[5] Put down screwdriver,[OP060] Put down screwdriver,439.95999,442.12
[2] Consult sheets,[OP070] Consult sheets,442.23999,443.51999
[7] Picking left,[OP070] Catch Bolt B835,460.12,461.92001
[6] Picking in front,[OP070] Place ECR8 on DI2T,464.95999,467
[2] Consult sheets,[OP070] Consult sheets,468.60001,471.20001
[12] Assemble system,[OP070] Place DI2T on P360-2,471.56,473.16
[7] Picking left,[OP070] Catch Nut ECR8,478.16,480.48001
[13] Take subsystem,[OP070] Catch component,480.79999,482.79999
[12] Assemble system,[OP070] Place ECR8 on DI2T,492.88,497.88
[4] Take screwdriver,[OP070] Take screwdriver,504.64001,506.16
[12] Assemble system,[OP070] Screw P360-2 with B835,506.39999,509.79999
[5] Put down screwdriver,[OP070] Put down screwdriver,509.88,512.08002
[14] Put down subsystem,[OP070] Put down Lower Part,523.28003,
